Crop,ScientifiName,CropCode,ECTsat,ECOneOneSand,ECdt,ECm,pHmax,pHb,pHc,pHaltc,SoilPopt,SoilPmax,SoilPb1
oat,Avena (abyssinica)/byzantina/fatua/sativa/sterilis/strigosa,55,2.5,1.41,10,-0.500,8.6,6,2,3.69189068,19.00,25.0,293.0
olive,,56,4.4,2.49,0,0.509,,6.25,0.75,1.111071002,19.00,25.0,293.0
onion,Allium cepa,57,1.2,0.68,16,-0.715,8.2,6.25,1.95,3.571161061,19.00,25.0,293.0
orange,,58,1.7,0.96,16,-0.715,,,,,,,
orchard grass,Dactylis glomerata L.,59,1.5,0.85,6.2,-0.420,7,6.5,0.5,0.704262268,20.00,26.0,343.2
papaya,Carica papaya,60,4.4,2.49,10,-0.500,8,6.15,1.85,3.33407603,19.00,25.0,293.0
"pea, field; peas",,61,1.6,0.90,10,-0.500,7.5,6.5,1,1.554,19.00,25.0,293.0
peach,Punus persica,62,1.7,0.96,21,-1.112,8.6,6.55,2.05,3.814078369,19.00,25.0,293.0
peanut,Arachis hypogea L.,63,3.2,1.81,29,-9.989,8.3,6.3,2,3.69189068,19.00,25.0,293.0
pear,Pyrus communis,64,1.6,0.90,10,-0.500,8.3,6.4,1.9,3.451889511,19.00,25.0,293.0
pecans,Carya illinoensis,65,2.0,1.13,10,-0.500,8.3,6.4,1.9,3.451889511,19.00,25.0,293.0
pepper,Capsicum annuum L.,66,1.5,0.85,14,-0.625,,6,1,1.55433147,19.00,25.0,293.0
"pine, lodgepole",,67,6.0,10.62,10,-0.500,5.5,5,0.50,0.704262268,19.00,25.0,293.0
"pine, ponderosa",,68,6.0,10.62,10,-0.500,5.5,5,0.50,0.704262268,19.00,25.0,293.0
"pine, slash",Pinus elliottii var. elliottii,69,6.0,10.62,10,-0.500,7.0,5.75,1.25,2.550207608,19.00,25.0,293.0
pineapple,Ananas comosus,70,4.4,7.79,10,-0.500,7.8,5.65,2.15,4.062827954,19.00,25.0,293.0
plum,,71,1.5,2.66,18,-0.834,,6.25,0.75,1.111071002,19.00,25.0,293.0
poppy,,72,4.0,7.08,0,0.509,,6.25,0.75,1.111071002,19.00,25.0,293.0
potato,Solanum tuberosum L.,73,1.7,3.01,12,-0.556,8.3,6.25,2.05,3.814078369,19.00,25.0,293.0
radish,,74,1.2,2.12,13,-0.589,,,,,,,
raspberry,Rubus (idaeus var. strigosus)/occidentalis/occidentalis X idaeus,75,1.6,2.83,10,-0.500,7.5,6.25,1.25,2.034043672,19.00,25.0,293.0
"rice, paddy",Oryza sativa L.,76,3.0,5.31,12,-0.556,,6,1.00,1.55433147,19.00,25.0,293.0
"ryegrass, annual",,77,,0.00,,,7,6.3,1.00,1.55433147,,6.0,214.0
"ryegrass, perennial",Lolium perenne L.,78,5.6,9.91,7.6,-0.447,8.4,6.5,1.90,3.451889511,19.00,25.0,293.0
safflower,,79,4.4,7.79,10,-0.500,,6.85,1.45,2.444058682,16.00,22.0,170.0
sorghum x sudan grass,hybrid,80,5.0,8.85,8.1325,-0.457,6.7,6.25,0.35,0.477673859,20.00,26.0,343.2
"sorghum, grain sorhum",Sorghum bicolor,81,6.0,10.62,10,-0.500,8.7,6.5,2.2,4.189389851,19.00,25.0,293.0
soybean,Glycine max L.,82,5.0,8.85,20,-1.001,8.4,6.25,1.2,1.935185093,16.00,22.0,170.0
spinach,,83,2.0,3.54,7.6,-0.447,,6.5,0.5,0.704262268,19.00,25.0,293.0
"squash, scallop",,84,3.2,5.66,16,-0.715,,,,,,,
strawberry,Fragaria (X ananassa)/chiloensis/vesca/virginiana,85,1.0,1.77,33,3.339,8.3,6.4,1.9,3.451889511,19.00,25.0,293.0
Sudangrass,,86,2.8,4.96,4.3,-0.389,,,,,,,
sugarbeet,Beta vulgaris L.,87,7.0,12.39,5.9,-0.415,8.3,6.25,2.05,3.814078369,19.00,25.0,293.0
sugarcane,Saccharum officinarum,88,1.7,3.01,5.9,-0.415,8.4,6.35,2.05,3.814078369,19.00,25.0,293.0
sunflower,Helianthus annuus,89,2.5,4.43,10,-0.500,8.7,6.6,2.1,3.937724127,19.00,25.0,293.0
sweet potato,Ipomoea batatas,90,1.5,2.66,11,-0.527,8.7,6.5,2.2,4.189389851,19.00,25.0,293.0
timothy,Phleum pratense,91,2.0,3.54,,0.509,7,6.25,0.75,1.111071002,20.00,26.0,343.2
tobacco,Nicotiana tabacum,92,2.0,3.54,10,-0.500,8.7,6.5,2.2,4.189389851,19.00,25.0,293.0
tomato,Lycopersicon esculentum,93,2.5,4.43,9.9,-0.498,8.7,6.5,2.2,4.189389851,24.00,30.0,590.0
tritcale,,94,7.1,12.57,0,0.509,7.5,6.5,1,1.55433147,19.00,25.0,293.0
turnip,,95,0.9,1.59,9,-0.476,,,,,,,
"vetch, common or hairy",Vicia sativa L.,96,3.0,5.31,11,-0.527,,6.125,0.625,0.903110168,19.00,25.0,293.0
walnut,Juglans (nigra)/regia/hindsii,97,2.0,3.54,10,-0.500,8.3,6.65,1.65,2.877402801,19.00,25.0,293.0
watermelon,Citullus lanatus,98,2.5,4.43,10,-0.500,8.7,7,1.7,2.989384004,19.00,25.0,293.0
"wheat, duram",,99,5.7,10.09,5.4,-0.407,,,,0,19.00,25.0,293.0
"wheat, spring",Triticum ssp.,100,6.0,10.62,7.1,-0.437,,,,0,21.00,27.0,398.0
winter wheat,Triticum aestivum L.,101,6.0,10.62,7.1,-0.437,,6.25,0.75,1.111071002,21.00,27.0,398.0
zucchini,,102,4.7,8.32,9,-0.476,7.0,6.0,1.0,1.55433147,,6.0,214.0
"pine, longleaf",Pinus palustris,103,6,10.62,10,-0.500,7.0,5.75,1.25,1.55433147,19,25,293.0
"Oak, Southern Red",Quercus falcata,104,5,0.00,8,0.509,7.0,6,1,0,19,25,214.0
Hickory,Carya spp.,105,5,0.00,8,0.509,7.5,6,1.5,0,19,25,214.0
"Oak, White",Quercus alba,106,,0.00,,0.509,6.5,5.5,1,0,19,25,214.0
BCerrado,Cerrado vegetation,107,,,,,5.5,4.5,1,1.55433147,6.00,12.0,59.4
BAtlantic Forest,Atlantic forest,108,,,,,7.5,5.5,2,3.69189068,12.00,18.0,70.5
Bbrachiaria,Brachiaria spp.,109,,,,,6.5,5.5,1,1.55433147,13.00,19.0,88.5
Bsugarcane,Saccharum officinarum,110,,,,,7,6,1,1.55433147,16.00,22.0,170.0
